IAPS,Male,Female,Male Order,Female Order
1052,,Dislike,,44
1111,,Dislike,,46
1201,,Dislike,,48
1202,,Dislike,,50
1271,,Dislike,,52
1274,,Dislike,,54
1525,,Dislike,,56
1710,Like,Like,1,1
1932,,Dislike,,58
2045,,Like,,16
2050,,Like,,19
2053,,Dislike,,60
2058,Like,Like,5,7
2100,Dislike,Dislike,4,3
2110,Dislike,Dislike,7,6
2120,Dislike,Dislike,11,9
2141,,Dislike,,62
2150,,Like,,22
2158,,Like,,25
2165,,Like,,28
2200,Neutral,Neutral,3,2
2208,,Like,,31
2210,Neutral,Neutral,6,5
2214,Neutral,Neutral,10,8
2215,Neutral,Neutral,13,11
2240,Neutral,Neutral,17,14
2250,Neutral,Neutral,20,17
2260,Neutral,Neutral,23,20
2270,Neutral,Neutral,26,23
2340,Like,,8,
2347,,Like,,34
2398,Like,,12,
2440,Neutral,Neutral,29,26
2441,Neutral,Neutral,32,29
2493,Neutral,Neutral,36,32
2499,Neutral,Neutral,39,35
2550,,Like,,37
2703,,Dislike,,64
2717,,Dislike,,66
2900,Dislike,,14,
3000,Dislike,Dislike,18,12
3001,Dislike,,21,
3005.1,Dislike,,24,
3010,Dislike,Dislike,27,15
3015,Dislike,,30,
3053,Dislike,Dislike,33,18
3100,Dislike,Dislike,37,21
3101,Dislike,Dislike,40,24
3102,Dislike,Dislike,42,27
3103,Dislike,,44,
3110,Dislike,Dislike,46,30
3215,Dislike,Dislike,48,33
4150,Like,,16,
4180,Like,,19,
4210,Like,,22,
4220,Like,,25,
4250,Like,,28,
4279,Like,,31,
4310,Like,,35,
4614,,Like,,39
4617,,Like,,41
4652,Like,,38,
4653,Like,,41,
4658,,Like,,43
4680,,Like,,45
4697,Like,,43,
4800,,Like,,47
4810,Like,,45,
5215,,Like,,49
5260,Like,,47,
5480,,Like,,51
5600,Like,,49,
5700,Like,,51,
5725,Like,,53,
5760,Like,,55,
5825,Like,Like,2,4
5829,,Like,,53
5830,,Like,,55
5833,Like,,9,
7230,,Like,,57
7502,,Like,,59
7580,Like,,15,
8120,,Like,,61
8190,Like,Like,34,10
8220,,Like,,63
8300,,Like,,65
8340,Like,Like,57,13
8400,,Like,,67
8492,,Like,,68
8499,,Like,,69
8501,Like,,58,
8510,Like,,59,
9341,Dislike,Dislike,50,36
9342,Dislike,Dislike,52,38
9471,Dislike,Dislike,54,40
9909,Dislike,Dislike,56,42
