IADS,Male,Female,Male Order,Female Order
110,Like,Like,1,1
171,Neutral,Neutral,2,2
255,Dislike,Dislike,3,3
201,Like,Like,4,4
262,Neutral,Neutral,5,5
260,Dislike,Dislike,6,6
200,Like,,7,
320,Neutral,Neutral,8,8
275,Dislike,Dislike,9,9
254,Like,,10,
358,Neutral,Neutral,11,11
277,Dislike,Dislike,12,12
802,Like,,13,
410,Neutral,Neutral,14,14
278,Dislike,Dislike,15,15
820,Like,,16,
425,Neutral,Neutral,17,17
252,Dislike,,18,
355,Like,,19,
602,Neutral,Neutral,20,20
293,Dislike,,21,
816,Like,,22,
704,Neutral,Neutral,23,23
288,Dislike,,24,
202,Like,,25,
708,Neutral,Neutral,26,26
250,Dislike,,27,
215,Like,,28,
113,Neutral,Neutral,29,29
282,Dislike,,30,
716,Like,,31,
246,Neutral,Neutral,32,32
285,Dislike,,33,
817,Like,Like,34,7
705,Neutral,Neutral,35,35
276,Dislike,,36,
351,Like,Like,37,10
720,Neutral,Neutral,38,38
115,Dislike,,39,
810,Like,Like,40,13
724,Neutral,Neutral,41,41
420,Dislike,,42,
220,Like,Like,43,16
102,Neutral,Neutral,44,44
241,Dislike,,45,
226,Like,Like,46,19
130,Neutral,Neutral,47,47
261,Dislike,,48,
815,Like,Like,49,22
376,Neutral,Neutral,50,50
279,Dislike,Dislike,51,18
367,Like,Like,52,25
700,Neutral,Neutral,53,53
284,Dislike,Dislike,54,21
311,Like,Like,55,28
701,Neutral,Neutral,56,56
286,Dislike,Dislike,57,24
366,Like,Like,58,31
361,Neutral,Neutral,59,59
290,Dislike,Dislike,60,27
717,Like,Like,61,34
627,Neutral,Neutral,62,62
292,Dislike,Dislike,63,30
728,Neutral,Neutral,65,65
296,Dislike,Dislike,66,33
322,Neutral,Neutral,68,68
422,Dislike,Dislike,69,36
722,Neutral,Neutral,71,71
600,Dislike,Dislike,72,39
611,Dislike,Dislike,75,42
709,Dislike,Dislike,78,45
711,Dislike,Dislike,81,48
712,Dislike,Dislike,84,51
730,Dislike,Dislike,87,54
732,Dislike,Dislike,90,57
352,,Like,,37
365,,Like,,40
423,,Dislike,,84
424,,Dislike,,81
501,,Dislike,,78
624,,Dislike,,75
625,,Dislike,,72
626,,Dislike,,69
703,,Dislike,,66
713,,Dislike,,63
719,,Dislike,,60
811,,Like,,43
