Attention,Meditation,Familiarity,MentalEffort,Appreciation,SignalQuality,EventTagging,Delta,Theta,Alpha,Beta,Gamma
29.000000,77.000000,6.806991,-2.129930,1.000000,1.000000,-1.000000,1.665520,1.637103,0.551903,0.197419,0.044521,
40.000000,81.000000,-2.344716,0.750720,1.000000,1.000000,-1.000000,1.038848,2.359599,1.087377,0.354959,0.061637,
54.000000,84.000000,11.551572,-0.030712,1.000000,1.000000,-1.000000,9.492593,10.480305,10.785024,5.770986,3.465229,
54.000000,74.000000,10.933878,-0.260105,1.000000,1.000000,-1.000000,0.806784,1.370220,0.499704,0.223232,0.037621,
56.000000,74.000000,0.659540,-1.607216,2.000000,1.000000,-1.000000,1.369519,3.786141,2.315161,1.248464,0.250966,
50.000000,66.000000,7.232879,-1.077817,2.000000,1.000000,-1.000000,18.598385,22.201501,15.299872,7.953339,1.748002,
37.000000,57.000000,-14.289277,-1.179583,1.000000,1.000000,-1.000000,1.766652,2.778789,2.158805,0.951017,0.149782,
35.000000,53.000000,6.327410,-1.147827,2.000000,1.000000,-1.000000,1.874240,3.443739,2.210441,0.609632,0.152507,
29.000000,61.000000,3.197179,-0.600048,4.000000,1.000000,-1.000000,0.733596,0.996957,0.364755,0.130538,0.030593,
47.000000,60.000000,5.165738,-0.758897,4.000000,1.000000,-1.000000,2.124697,3.540825,2.930360,1.906344,0.312788,
41.000000,54.000000,-2.065045,-0.428973,4.000000,1.000000,-1.000000,0.823927,1.664091,1.177174,1.146597,0.306446,
37.000000,70.000000,2.229121,0.344198,4.000000,1.000000,-1.000000,0.866932,1.529993,0.713154,0.130182,0.031835,
44.000000,66.000000,0.118706,-0.311499,2.000000,1.000000,-1.000000,20.125312,23.670547,18.218288,7.451437,2.235452,
27.000000,66.000000,-1.480020,-2.181524,3.000000,1.000000,-1.000000,1.209540,3.424283,2.032380,0.950791,0.307240,
26.000000,75.000000,-2.864352,0.587220,3.000000,1.000000,-1.000000,4.751682,4.181012,1.666442,1.917142,0.354280,
