Attention,Meditation,Familiarity,MentalEffort,Appreciation,SignalQuality,EventTagging,Delta,Theta,Alpha,Beta,Gamma
57.000000,84.000000,-5.209713,-6.381275,1.000000,1.000000,-1.000000,6.929860,8.553336,4.124366,1.291569,0.527067,
26.000000,70.000000,5.096353,-5.295060,1.000000,1.000000,-1.000000,9.671553,6.737533,2.770765,1.078529,0.341199,
1.000000,57.000000,-249.541406,-1.919399,1.000000,1.000000,-1.000000,6.691202,10.439527,5.210754,1.317447,0.382612,
1.000000,61.000000,-33.979647,-0.530474,1.000000,1.000000,-1.000000,2.495196,4.284462,4.253229,1.748447,0.277144,
1.000000,51.000000,-18.142156,-1.029145,2.000000,1.000000,-1.000000,17.972945,14.330837,3.050023,0.924642,0.279451,
13.000000,64.000000,-2.331830,-1.850943,2.000000,1.000000,-1.000000,6.063980,7.451391,2.368680,0.678119,0.236235,
29.000000,78.000000,-0.031298,-1.745197,2.000000,1.000000,-1.000000,7.706921,9.746078,3.006204,0.886992,0.146220,
30.000000,69.000000,3.426683,-2.885533,2.000000,1.000000,-1.000000,3.009871,4.094991,2.345892,1.084854,0.478917,
53.000000,67.000000,2.322300,-4.934628,2.000000,1.000000,-1.000000,4.303808,4.404705,3.193717,0.960877,0.268122,
48.000000,67.000000,-5.622199,-2.228833,2.000000,1.000000,-1.000000,12.075778,9.327155,5.005016,2.074313,0.227284,
51.000000,56.000000,2.116776,-1.277460,2.000000,1.000000,-1.000000,18.911578,19.941339,21.086912,16.440345,3.188907,
50.000000,54.000000,6.551949,-0.969467,2.000000,1.000000,-1.000000,12.537520,24.098528,19.608929,5.443135,1.688500,
27.000000,35.000000,13.193795,-2.384879,2.000000,1.000000,-1.000000,37.660424,29.288079,20.547059,15.913844,2.981117,
26.000000,30.000000,10.891603,-1.174669,2.000000,1.000000,-1.000000,14.617695,18.565381,6.251466,5.174409,1.347302,
21.000000,27.000000,-1.105901,0.035605,2.000000,1.000000,-1.000000,6.709894,10.512525,4.512002,1.059104,0.186999,
21.000000,34.000000,5.107763,-2.382648,2.000000,1.000000,-1.000000,5.629820,6.732045,4.301515,1.632037,0.515477,
35.000000,47.000000,4.572038,0.019309,2.000000,1.000000,-1.000000,21.684054,32.717498,31.054293,23.666328,4.524889,
43.000000,41.000000,6.518848,1.002165,2.000000,1.000000,-1.000000,7.320580,7.241352,3.345042,0.942519,0.129255,
64.000000,29.000000,8.698040,0.133298,2.000000,1.000000,-1.000000,16.882333,17.610477,10.807608,11.079672,1.639051,
69.000000,34.000000,11.544076,1.383103,2.000000,1.000000,-1.000000,13.001838,11.746560,6.900286,3.302588,0.516477,
84.000000,40.000000,11.995190,1.505853,2.000000,1.000000,-1.000000,1.154392,0.901970,1.109616,0.913366,0.110517,
93.000000,38.000000,13.771083,-0.507653,2.000000,1.000000,-1.000000,5.957990,4.680909,1.439416,0.823045,0.149448,
93.000000,54.000000,16.142853,1.656037,2.000000,1.000000,-1.000000,6.999837,12.274645,7.749891,6.853261,1.193603,
100.000000,47.000000,18.891416,1.841472,2.000000,1.000000,-1.000000,5.292101,8.337887,2.007223,0.852528,0.057971,
100.000000,41.000000,19.567494,1.654963,2.000000,1.000000,-1.000000,5.299769,5.384704,1.690960,0.523969,0.161905,
100.000000,40.000000,19.552405,0.788445,2.000000,1.000000,-1.000000,3.771130,5.442384,1.914174,0.916349,0.169183,
100.000000,40.000000,21.013999,1.536913,2.000000,1.000000,-1.000000,10.038420,5.254591,1.843769,0.669596,0.223982,
93.000000,48.000000,-6.706339,1.407756,2.000000,1.000000,-1.000000,9.368723,13.565990,7.369967,1.768798,0.450644,
70.000000,48.000000,6.166155,0.076744,2.000000,1.000000,-1.000000,6.164487,7.987897,3.914420,0.785042,0.220302,
53.000000,44.000000,9.150235,-3.107709,2.000000,1.000000,-1.000000,23.071296,48.453517,29.197637,6.718757,1.554498,
43.000000,54.000000,14.464139,1.095396,2.000000,1.000000,-1.000000,20.761684,27.109950,31.448460,18.656026,4.061919,
40.000000,41.000000,15.852560,1.703463,2.000000,1.000000,-1.000000,6.417041,5.265399,1.918404,0.833606,0.180872,
41.000000,37.000000,7.291412,1.464675,2.000000,1.000000,-1.000000,8.594101,6.841765,3.527900,1.331655,0.155600,
41.000000,43.000000,6.974811,1.940188,2.000000,1.000000,-1.000000,3.517364,5.358329,4.390217,2.126622,0.429405,
40.000000,41.000000,-2.487889,1.282537,2.000000,1.000000,-1.000000,8.406640,7.976835,3.688457,1.915561,0.571066,
34.000000,50.000000,13.863487,0.793891,2.000000,1.000000,-1.000000,23.246131,24.956623,18.694306,8.797487,3.588269,
38.000000,69.000000,13.244337,1.506168,2.000000,1.000000,-1.000000,2.992645,2.244003,0.897802,0.252152,0.047202,
54.000000,67.000000,17.550136,1.503112,2.000000,1.000000,-1.000000,3.362716,3.075645,1.942926,0.889655,0.083690,
83.000000,64.000000,18.593875,2.312260,2.000000,1.000000,-1.000000,4.165079,6.203740,2.946670,1.523726,0.209658,
100.000000,53.000000,20.512506,-2.313534,2.000000,1.000000,-1.000000,16.792224,14.444185,19.862520,18.864590,3.235615,
100.000000,35.000000,23.301853,0.901869,2.000000,1.000000,-1.000000,3.632093,4.333406,1.616724,0.547558,0.053631,
93.000000,34.000000,15.380542,2.108833,2.000000,1.000000,-1.000000,4.414200,5.447402,2.823454,1.622331,0.147094,
67.000000,30.000000,15.608151,1.267004,2.000000,1.000000,-1.000000,5.050415,6.739971,2.627366,1.391333,0.190010,
54.000000,38.000000,19.692135,0.210364,2.000000,1.000000,-1.000000,11.602415,8.809828,4.604652,3.512392,0.767660,
51.000000,37.000000,20.826389,-0.052383,2.000000,1.000000,-1.000000,24.492834,15.515622,10.739020,10.297454,1.693432,
50.000000,30.000000,2.889034,1.479640,2.000000,1.000000,-1.000000,28.157476,19.626578,10.214417,4.375196,0.856667,
61.000000,35.000000,23.879415,-0.082852,2.000000,1.000000,-1.000000,10.449411,16.246688,9.572168,3.010001,0.447246,
64.000000,37.000000,11.071737,-0.066905,2.000000,1.000000,-1.000000,4.668586,4.230162,1.254262,1.165099,0.155467,
56.000000,43.000000,11.523428,1.004188,2.000000,1.000000,-1.000000,17.601598,15.305195,6.422340,2.261852,0.686727,
60.000000,50.000000,14.867043,0.130011,2.000000,1.000000,-1.000000,7.086222,8.895959,3.857050,1.745307,0.196237,
54.000000,47.000000,5.164363,-0.112697,2.000000,1.000000,-1.000000,4.851545,12.576075,9.222184,4.717675,1.351231,
53.000000,53.000000,6.633251,0.665398,2.000000,1.000000,-1.000000,3.332178,8.760335,5.096276,1.303308,0.152967,
64.000000,51.000000,16.934130,1.160373,2.000000,1.000000,-1.000000,3.506754,4.115326,2.624762,0.599089,0.162190,
70.000000,50.000000,15.516200,0.348509,2.000000,1.000000,-1.000000,7.252423,6.199433,2.091958,0.627824,0.072718,
81.000000,51.000000,20.582838,0.283205,2.000000,1.000000,-1.000000,3.463666,3.490106,2.224759,1.264503,0.173156,
66.000000,47.000000,21.550765,1.921905,2.000000,1.000000,-1.000000,1.230884,1.333378,0.735996,0.544358,0.087400,
75.000000,60.000000,21.970680,1.335520,2.000000,1.000000,-1.000000,1.944846,3.751167,1.525228,0.688337,0.174962,
69.000000,61.000000,25.748864,1.893859,2.000000,1.000000,-1.000000,2.958458,3.569167,1.158380,0.724306,0.112789,
64.000000,63.000000,31.003814,0.775903,2.000000,1.000000,-1.000000,5.839878,8.819909,4.443104,1.976624,0.397613,
75.000000,67.000000,32.654514,-1.089935,2.000000,1.000000,-1.000000,8.224812,7.417507,2.657062,2.073722,0.290483,
64.000000,63.000000,32.292168,0.790422,2.000000,1.000000,-1.000000,6.724670,7.910416,3.898125,0.620221,0.081605,
70.000000,60.000000,31.267634,1.280307,2.000000,1.000000,-1.000000,5.590015,14.923013,10.168058,3.719944,0.886217,
67.000000,56.000000,27.445139,2.033325,2.000000,1.000000,-1.000000,8.641839,8.824086,2.496271,0.642238,0.168596,
63.000000,48.000000,26.916882,1.934611,2.000000,1.000000,-1.000000,1.346350,1.727122,0.794089,0.544435,0.117657,
56.000000,53.000000,28.809313,1.796094,2.000000,1.000000,-1.000000,1.649413,2.604822,1.956282,0.574121,0.092017,
53.000000,53.000000,10.078128,1.878939,2.000000,1.000000,-1.000000,5.142262,6.708768,2.884861,1.029121,0.247407,
64.000000,57.000000,24.267675,1.302313,2.000000,1.000000,-1.000000,10.885804,18.097645,18.970599,13.076744,3.110130,
51.000000,54.000000,11.843908,-0.064853,2.000000,1.000000,-1.000000,2.606500,4.701453,2.722057,1.050906,0.335488,
47.000000,50.000000,-42.824923,0.751768,2.000000,1.000000,-1.000000,2.544946,3.685867,1.233192,0.581158,0.091379,
53.000000,50.000000,16.375876,0.870298,2.000000,1.000000,-1.000000,3.333225,5.916390,3.515974,0.874497,0.166145,
43.000000,40.000000,18.637910,1.348451,2.000000,1.000000,-1.000000,1.529773,3.624962,2.531089,0.400699,0.116783,
60.000000,40.000000,16.462307,1.773692,2.000000,1.000000,-1.000000,5.395872,4.525337,6.521221,5.885024,1.254328,
53.000000,30.000000,19.512518,0.406416,2.000000,1.000000,-1.000000,36.770904,18.860472,14.153219,23.240177,4.585846,
41.000000,29.000000,15.125373,-0.837575,2.000000,1.000000,-1.000000,17.388661,26.688178,14.688543,9.134381,1.310424,
50.000000,24.000000,18.408010,1.642965,2.000000,1.000000,-1.000000,14.262228,13.805715,7.712312,4.303042,0.790883,
38.000000,34.000000,16.088774,-1.599224,2.000000,1.000000,-1.000000,14.529507,17.995924,9.024637,4.861784,2.040238,
47.000000,38.000000,16.724834,-0.920967,2.000000,1.000000,-1.000000,13.383808,16.760853,19.672361,6.934917,1.496352,
44.000000,38.000000,-19.237959,-4.111938,1.000000,1.000000,-1.000000,5.578489,7.322590,4.383924,4.610266,1.542551,
23.000000,48.000000,17.970133,-1.648904,1.000000,1.000000,-1.000000,9.270376,9.532575,5.483297,5.101416,0.817005,
26.000000,50.000000,16.800357,-0.185514,2.000000,1.000000,-1.000000,10.932476,15.062400,9.383837,4.611297,1.034909,
38.000000,54.000000,13.947549,0.491154,1.000000,1.000000,-1.000000,7.058052,5.965415,2.984474,1.663660,0.416863,
35.000000,60.000000,15.023482,-0.875519,2.000000,1.000000,-1.000000,13.822367,14.408861,13.360201,6.042819,1.745327,
