Attention,Meditation,Familiarity,MentalEffort,Appreciation,SignalQuality,EventTagging,Delta,Theta,Alpha,Beta,Gamma
75.000000,17.000000,-52.817171,-0.064564,1.000000,1.000000,-1.000000,0.523272,1.197255,0.883601,0.409960,0.100474,
83.000000,35.000000,-500.036933,-4.850915,1.000000,1.000000,-1.000000,1.558957,2.530047,0.938832,0.322370,0.074761,
80.000000,51.000000,-55.457106,-1.300634,1.000000,1.000000,-1.000000,2.877127,4.394123,2.937687,1.419207,0.144996,
53.000000,74.000000,-113.390541,-4.139380,1.000000,1.000000,-1.000000,19.966424,21.245335,18.465357,8.538312,2.878658,
21.000000,67.000000,-104.765217,-5.910194,1.000000,1.000000,-1.000000,2.505812,3.080145,1.310589,0.570735,0.106992,
27.000000,53.000000,-104.827396,-9.954111,2.000000,1.000000,-1.000000,1.081755,2.132280,1.238602,0.537515,0.082679,
21.000000,56.000000,-84.679954,-3.938537,2.000000,1.000000,-1.000000,1.591592,3.867842,2.637551,1.621597,0.384170,
16.000000,56.000000,-94.325345,-4.958943,2.000000,1.000000,-1.000000,2.315366,1.534593,0.628946,0.264380,0.105821,
40.000000,67.000000,-77.287252,-6.148874,1.000000,1.000000,-1.000000,3.354051,3.488947,2.639658,1.550780,0.545405,
34.000000,60.000000,-74.991631,-9.804699,1.000000,1.000000,-1.000000,4.114938,7.860143,4.050115,2.543891,0.443736,
30.000000,43.000000,-53.384274,-4.778687,2.000000,1.000000,-1.000000,2.288141,6.204335,6.289506,2.938104,0.595113,
29.000000,29.000000,-132.988034,-5.030790,2.000000,1.000000,-1.000000,0.817674,1.247616,0.474204,0.226089,0.038632,
26.000000,27.000000,-55.682304,-4.753307,1.000000,1.000000,-1.000000,35.156066,34.258788,18.300996,10.529267,2.863263,
24.000000,34.000000,-172.092215,-7.950682,2.000000,1.000000,-1.000000,7.447478,11.250422,8.610308,5.409455,0.490094,
29.000000,38.000000,-182.640432,-3.316294,2.000000,1.000000,-1.000000,24.776375,18.649348,10.053102,12.543408,1.623991,
41.000000,56.000000,-125.991849,-3.857091,2.000000,1.000000,-1.000000,8.025452,10.472694,3.597505,1.784705,0.254663,
44.000000,54.000000,-445.219777,-7.561690,2.000000,1.000000,-1.000000,49.618527,73.128660,42.352440,14.652862,3.987831,
40.000000,57.000000,-99.714746,-5.266576,2.000000,1.000000,-1.000000,2.589260,2.781287,1.613208,0.599102,0.070131,
