Attention,Meditation,Familiarity,MentalEffort,Appreciation,SignalQuality,EventTagging,Delta,Theta,Alpha,Beta,Gamma
63.000000,57.000000,-10.560061,-0.531555,1.000000,1.000000,-1.000000,3.239538,3.063420,0.793211,0.895554,0.167404,
57.000000,57.000000,-58.362333,-2.531680,1.000000,1.000000,-1.000000,0.743059,1.961547,1.688929,0.752296,0.266118,
56.000000,48.000000,-1.247706,-0.409597,1.000000,1.000000,-1.000000,3.410454,5.859621,4.689067,4.545579,0.812405,
53.000000,41.000000,-62.032508,-2.768930,1.000000,1.000000,-1.000000,11.610787,14.060678,9.935649,7.080360,2.032789,
64.000000,29.000000,-17.752278,0.799211,3.000000,1.000000,-1.000000,0.849084,1.627833,0.892957,0.271752,0.080578,
67.000000,27.000000,-9.172312,0.910446,3.000000,1.000000,-1.000000,2.817346,3.057329,2.204159,1.746501,0.329850,
63.000000,23.000000,-24.185233,1.821214,3.000000,1.000000,-1.000000,22.101205,29.411580,10.117190,10.363756,2.310201,
51.000000,21.000000,-9.930535,1.195959,3.000000,1.000000,-1.000000,5.994084,6.850672,3.887625,3.255791,0.606069,
41.000000,35.000000,-33.743937,2.011826,2.000000,1.000000,-1.000000,10.167605,9.717097,5.735581,4.370531,0.713190,
38.000000,40.000000,-20.119455,2.175514,4.000000,1.000000,-1.000000,7.485047,24.645054,17.974390,12.689296,2.036919,
38.000000,35.000000,-38.907823,2.710992,4.000000,1.000000,-1.000000,2.311733,2.954520,2.067989,1.582601,0.177786,
38.000000,24.000000,-68.029534,3.514407,4.000000,1.000000,-1.000000,6.548960,8.979343,4.803802,3.745681,1.512934,
34.000000,7.000000,-27.539446,1.026005,3.000000,1.000000,-1.000000,32.067697,29.045438,16.256958,8.930814,1.486381,
29.000000,1.000000,-35.357163,1.187937,3.000000,1.000000,-1.000000,16.388884,13.421381,5.399348,3.032206,0.635174,
26.000000,1.000000,-64.875962,0.715530,3.000000,1.000000,-1.000000,21.107916,31.800386,21.293384,8.023967,1.882888,
38.000000,1.000000,-86.824803,1.561341,3.000000,1.000000,-1.000000,3.182454,3.616305,2.324268,1.422022,0.196411,
50.000000,1.000000,-76.251577,-0.895083,3.000000,1.000000,-1.000000,2.387506,2.095405,1.288923,1.355438,0.376023,
54.000000,1.000000,-93.505466,3.245582,3.000000,1.000000,-1.000000,11.110546,11.675822,5.322216,2.536783,0.793184,
61.000000,4.000000,-11.283372,1.775977,3.000000,1.000000,-1.000000,3.157211,4.544810,2.745966,1.887577,0.263107,
54.000000,4.000000,-127.154349,4.085877,3.000000,1.000000,-1.000000,130.107090,53.052881,18.765217,23.521463,3.517769,
57.000000,16.000000,-85.898753,4.438127,3.000000,1.000000,-1.000000,105.459309,139.976900,92.720556,37.991591,8.674360,
57.000000,16.000000,-39.274810,5.054396,3.000000,-1.000000,-1.000000,6.332243,8.002001,4.450776,2.922417,1.321420,
57.000000,34.000000,-36.223258,1.595341,3.000000,1.000000,-1.000000,3.748222,11.106786,8.794318,5.765769,0.641107,
63.000000,17.000000,-55.500922,3.712123,3.000000,1.000000,-1.000000,4.532588,12.836973,9.206817,5.311791,0.862406,
60.000000,26.000000,-49.657806,6.198239,3.000000,1.000000,-1.000000,5.472159,7.227121,3.744374,3.318098,0.452381,
53.000000,26.000000,-36.797188,6.571478,3.000000,1.000000,-1.000000,9.020994,8.849711,3.364460,3.502716,0.662971,
57.000000,26.000000,-40.432139,8.461221,3.000000,1.000000,-1.000000,49.648134,54.081343,32.842306,27.464581,2.736341,
