Attention,Meditation,Familiarity,MentalEffort,Appreciation,SignalQuality,EventTagging,Delta,Theta,Alpha,Beta,Gamma
40.000000,47.000000,5.666492,1.378703,1.000000,1.000000,-1.000000,21.930188,46.797056,27.926168,15.035644,2.236091,
48.000000,47.000000,13.235147,-2.513589,1.000000,1.000000,-1.000000,26.337680,29.019631,16.626527,17.561997,2.689374,
43.000000,43.000000,14.812692,1.073391,1.000000,1.000000,-1.000000,26.638523,39.842313,17.640336,7.868676,0.814274,
43.000000,51.000000,23.962224,1.513073,1.000000,1.000000,-1.000000,46.470071,36.955199,17.877198,10.683084,1.728843,
40.000000,60.000000,-33.027082,1.222194,2.000000,1.000000,-1.000000,37.505514,36.812237,14.633329,9.051779,1.366169,
37.000000,64.000000,25.770273,1.010338,2.000000,1.000000,-1.000000,4.411778,4.334547,3.322404,1.630831,0.243130,
47.000000,66.000000,24.267294,-5.654829,2.000000,1.000000,-1.000000,2.640106,4.877831,2.325027,1.562361,0.285265,
54.000000,60.000000,26.918710,0.154582,2.000000,1.000000,-1.000000,9.987627,8.359481,3.856935,1.118800,0.076929,
61.000000,47.000000,12.827794,-0.152875,2.000000,1.000000,-1.000000,3.286864,5.750971,2.332423,0.726372,0.098797,
78.000000,57.000000,18.976792,0.120422,2.000000,1.000000,-1.000000,4.435079,8.045047,2.524793,1.577056,0.271157,
70.000000,63.000000,22.172849,-0.041743,2.000000,1.000000,-1.000000,14.274843,18.390151,16.332175,17.878693,2.885066,
64.000000,63.000000,-18.048686,0.406851,2.000000,1.000000,-1.000000,29.609136,15.308149,7.444648,4.786659,0.955294,
61.000000,64.000000,24.653238,-0.189974,2.000000,1.000000,-1.000000,37.297204,64.289009,53.991479,28.945367,6.294054,
51.000000,54.000000,17.524924,-0.360770,2.000000,1.000000,-1.000000,17.620287,26.552512,19.652157,10.187332,3.798412,
57.000000,53.000000,23.427025,-0.759781,2.000000,1.000000,-1.000000,13.466990,7.992280,4.898809,4.637156,1.269843,
47.000000,47.000000,21.121112,-2.889919,2.000000,1.000000,-1.000000,24.667259,25.019356,14.422291,14.680552,3.035050,
48.000000,63.000000,27.378083,-0.967176,2.000000,1.000000,-1.000000,28.031276,23.658747,13.257280,20.506038,2.143780,
43.000000,51.000000,6.127433,0.216330,2.000000,1.000000,-1.000000,9.704448,9.802063,7.038015,3.877956,1.181122,
41.000000,44.000000,44.878448,0.368761,2.000000,1.000000,-1.000000,57.072747,78.459859,44.135901,20.359158,3.024110,
51.000000,54.000000,71.175754,0.860936,2.000000,1.000000,-1.000000,113.067267,105.486180,48.935621,43.461473,8.818216,
57.000000,41.000000,92.026965,0.973169,2.000000,1.000000,-1.000000,5.508010,10.614888,8.634534,4.647836,1.016222,
50.000000,50.000000,99.064009,1.985082,2.000000,1.000000,-1.000000,4.708795,14.022767,10.468523,3.866035,0.729615,
43.000000,57.000000,106.242105,1.136094,2.000000,1.000000,-1.000000,33.833920,28.444978,25.319976,16.175535,2.137139,
43.000000,56.000000,96.447794,2.773839,2.000000,1.000000,-1.000000,25.968159,21.751519,13.639758,16.298993,2.408377,
40.000000,50.000000,112.772347,2.948007,2.000000,1.000000,-1.000000,30.494450,30.485503,13.237025,22.571658,6.804800,
47.000000,61.000000,81.166350,0.408721,2.000000,1.000000,-1.000000,11.271440,15.187368,15.320975,16.085038,2.543150,
47.000000,53.000000,147.647045,3.055822,2.000000,1.000000,-1.000000,21.743664,23.494070,16.705679,13.136876,1.994488,
57.000000,41.000000,146.663462,2.310434,2.000000,1.000000,-1.000000,21.539610,29.249972,15.049078,11.579395,2.456760,
44.000000,44.000000,178.447746,1.233158,2.000000,1.000000,-1.000000,116.067108,106.687793,53.706484,36.166511,13.158097,
48.000000,48.000000,187.743007,3.375087,2.000000,1.000000,-1.000000,40.341388,28.591712,15.602710,23.767588,4.208884,
60.000000,56.000000,188.817035,2.504468,2.000000,1.000000,-1.000000,35.770411,80.826269,44.071817,16.123672,1.705011,
44.000000,54.000000,183.936505,3.329990,2.000000,1.000000,-1.000000,45.422690,36.854691,19.467380,19.487625,5.268371,
50.000000,56.000000,188.697377,2.723490,2.000000,1.000000,-1.000000,58.580207,50.012414,33.309749,13.905269,2.510606,
47.000000,43.000000,174.318538,2.988155,2.000000,1.000000,-1.000000,29.778078,28.074756,21.311896,27.529852,6.690865,
37.000000,34.000000,201.095260,2.852239,2.000000,1.000000,-1.000000,28.844503,28.135990,14.898863,13.604763,4.113824,
48.000000,48.000000,173.547734,3.205873,2.000000,1.000000,-1.000000,19.548949,15.756675,10.864809,9.760700,1.201903,
40.000000,51.000000,202.368077,1.891247,2.000000,1.000000,-1.000000,53.939837,37.991308,28.476615,18.132055,5.387688,
