Attention,Meditation,Familiarity,MentalEffort,Appreciation,SignalQuality,EventTagging,Delta,Theta,Alpha,Beta,Gamma
30,61,14.089371,0.880674,1,1,-1.00,1.319898,3.303531,2.179259,1.167215,0.109204
16,67,17.885041,0.344428,1,1,-1.00,2.679332,2.892327,2.264061,1.438726,0.117686
41,88,2.808908,-1.261146,1,1,-1.00,2.887044,8.455106,8.576,4.407622,1.40322
38,80,6.250109,1.333252,1,1,-1.00,14.042192,14.80913,6.596989,6.587511,1.282901
21,74,6.687963,1.289921,2,1,-1.00,13.134768,12.912332,7.317537,8.021535,0.989019
27,77,2.731921,0.707676,4,1,-1.00,5.93147,6.209678,4.704415,3.456443,0.484505
20,74,5.798418,-4.522141,4,1,-1.00,16.359683,26.551951,21.346604,8.698971,1.290961
24,75,-12.465059,1.124905,4,1,-1.00,6.072794,6.6299,5.859519,1.95745,0.332554
38,80,5.900887,1.844491,3,1,-1.00,5.684517,6.822888,4.357123,7.229984,1.505753
21,77,3.118239,2.141987,4,1,-1.00,4.291588,12.554929,9.49031,2.236464,0.355115
27,74,-13.72699,-2.367585,4,1,-1.00,10.909088,16.247116,8.710457,3.10272,0.830621
43,67,0.91659,2.186144,4,1,-1.00,8.34062,6.196665,3.197925,0.978046,0.256607
50,61,-3.975732,1.31677,4,1,-1.00,8.230383,5.896387,3.116966,2.091748,0.300438
77,50,-9.727743,-2.174594,4,1,-1.00,1.88424,3.787907,2.539403,0.843893,0.068654
88,48,-2.854229,2.414882,3,1,-1.00,2.707803,3.80559,3.532926,1.401465,0.098525
88,47,1.571667,-0.908577,4,1,-1.00,7.994257,10.614732,3.559428,2.261307,0.405399
84,54,1.176724,2.619706,4,1,-1.00,5.04683,15.220968,12.344046,4.543675,0.61846
70,69,6.937946,2.057264,4,1,-1.00,7.70078,14.51439,7.599965,3.009848,0.525945
53,66,-2.816596,-1.484781,4,1,-1.00,2.546356,6.515704,5.522597,9.508982,2.030813
34,56,-13.069393,2.653881,4,1,-1.00,16.003029,17.649228,12.37647,11.907311,2.166349
11,41,-0.172574,2.907835,4,1,-1.00,4.554634,11.080338,6.290989,5.972717,0.756206
1,38,-3.577453,1.921134,4,1,-1.00,3.39329,3.001504,0.954885,0.515356,0.104298
17,47,0.662853,3.375798,3,1,-1.00,5.349107,5.556881,2.460721,1.032421,0.158926
34,69,13.635952,3.121761,4,1,-1.00,1.971706,2.849926,1.105225,0.801035,0.145514
44,78,15.065668,3.558415,3,1,-1.00,3.708457,4.129671,2.339985,0.759038,0.084465
57,81,12.227355,4.197368,3,1,-1.00,1.103432,2.136914,1.360147,0.508592,0.079295
38,91,9.510297,1.741383,2,1,-1.00,1.505489,1.570317,1.849192,1.284348,0.285477
27,67,13.192484,4.392021,4,1,-1.00,32.262745,21.156597,8.979075,6.723866,1.742356
21,74,11.704359,3.879207,4,1,-1.00,2.86851,3.516239,1.64907,0.491118,0.12084
27,69,9.515921,4.581948,4,1,-1.00,1.065009,1.546388,1.102293,0.455692,0.182418
35,57,5.075431,4.258609,4,1,-1.00,12.363485,9.274267,7.091685,6.777112,1.010349
40,56,1.300074,4.449113,4,1,-1.00,4.605991,4.843197,3.652723,1.772953,0.256038
53,67,8.725363,3.078329,4,1,-1.00,24.002872,21.077842,6.934921,4.595682,0.838078
44,69,6.858791,4.362434,4,1,-1.00,5.338038,6.462413,4.618121,1.274547,0.260056
53,75,0.702727,4.413495,4,1,-1.00,7.737237,8.986368,6.437371,2.029395,0.113694
64,94,0.847476,2.905619,4,1,-1.00,8.638405,8.451092,5.149214,4.40024,1.063685
74,91,4.000486,3.539505,4,1,-1.00,14.555905,17.72042,12.841168,7.497522,1.926762
53,90,10.543912,4.415927,4,1,-1.00,4.687598,7.280649,5.070853,7.085362,1.957211
30,90,8.418877,4.528635,4,1,-1.00,11.414096,13.594149,7.954829,6.329597,1.40514
21,78,6.124933,1.703686,4,1,-1.00,6.034841,8.995473,3.14847,1.677218,0.277357
3,60,5.983707,3.943269,4,1,-1.00,16.759666,15.833238,5.117654,1.525346,0.79637
4,47,-1.555702,4.186694,2,1,-1.00,6.990452,10.083226,5.974088,2.849316,0.478824
3,47,5.2292,3.071887,4,1,-1.00,9.171677,9.260293,3.837308,2.069502,0.506742
1,48,7.58729,4.375896,4,1,-1.00,2.454737,4.961704,3.210334,0.843884,0.11022
16,63,12.366326,3.771513,4,1,-1.00,4.291514,3.794565,1.89169,0.995719,0.175658
38,54,12.04547,4.756429,3,1,-1.00,4.497544,6.170964,3.363664,2.5281,0.221272
54,37,-1.073876,4.16202,3,1,-1.00,3.356986,9.844524,5.671354,1.133842,0.077754
90,27,4.034258,0.587682,3,1,-1.00,4.478812,5.648081,4.519978,1.709496,0.32355
96,21,-3.787805,3.512113,4,1,-1.00,2.260117,3.855132,2.739024,1.885163,0.291432
94,50,-11.744045,2.064957,4,1,-1.00,3.800558,3.05786,1.532724,0.897281,0.097793
100,69,-9.003191,4.926609,4,1,-1.00,2.224524,5.668823,3.60291,0.779071,0.103938
100,91,-11.582569,3.94147,4,1,-1.00,3.020781,5.437758,3.502015,0.723109,0.211696
97,78,-16.188119,3.915712,3,1,-1.00,4.21291,4.105847,1.374669,0.841952,0.162599
88,54,-15.77578,4.272301,4,1,-1.00,4.402261,8.412763,4.667764,2.061907,0.472789
66,48,-24.243185,4.994743,3,1,-1.00,2.998647,4.915548,4.565747,2.641495,0.644097
41,44,-21.792634,4.734463,3,1,-1.00,5.638392,9.773828,7.853406,4.968967,0.630329
24,74,-14.111673,4.480007,4,1,-1.00,2.651298,4.747951,3.819516,2.263511,0.311189
26,84,-11.280469,4.788072,3,1,-1.00,2.184238,2.219249,0.737927,0.502914,0.059957
43,91,-0.694676,4.583299,3,1,-1.00,1.947444,2.659999,1.499691,0.838645,0.168528
63,90,-18.690699,5.134267,3,1,-1.00,2.312857,3.708916,1.890819,0.576584,0.085748
69,75,-7.173175,5.426024,3,1,-1.00,3.58382,2.500393,1.983979,2.058766,0.254226
