Attention,Meditation,Familiarity,MentalEffort,Appreciation,SignalQuality,EventTagging,Delta,Theta,Alpha,Beta,Gamma
50.000000,84.000000,308.488527,0.482618,1.000000,1.000000,-1.000000,0.829160,1.744469,1.297991,0.858973,0.104634,
41.000000,90.000000,-791.783436,-2.101997,1.000000,1.000000,-1.000000,1.366320,3.427371,2.387856,0.850816,0.091614,
48.000000,88.000000,-19007.719304,-0.104035,1.000000,1.000000,-1.000000,1.917496,4.716986,2.748253,0.617703,0.129799,
47.000000,80.000000,-1679.220297,0.500986,1.000000,1.000000,-1.000000,1.728436,5.153085,2.481608,0.731716,0.144616,
40.000000,91.000000,460.087037,0.741878,2.000000,1.000000,-1.000000,1.558926,1.450830,1.056220,0.474555,0.081053,
47.000000,83.000000,421.680001,0.298410,4.000000,1.000000,-1.000000,1.368147,1.656588,0.810411,0.632495,0.052470,
50.000000,87.000000,-910.757652,1.305363,3.000000,1.000000,-1.000000,3.357999,3.069320,1.344403,0.458443,0.082828,
60.000000,96.000000,-63.579617,0.303119,4.000000,1.000000,-1.000000,0.998205,2.932514,1.680972,0.524340,0.141158,
54.000000,93.000000,529.952301,-1.577061,4.000000,1.000000,-1.000000,3.043778,5.741400,3.617908,1.670627,0.293926,
41.000000,91.000000,55.637266,1.517467,4.000000,1.000000,-1.000000,0.491312,0.927084,0.674099,0.422941,0.153404,
35.000000,94.000000,590.932397,1.700442,2.000000,1.000000,-1.000000,1.406791,2.014195,1.006663,0.681899,0.144134,
29.000000,91.000000,2002.521147,1.631867,4.000000,1.000000,-1.000000,2.519364,3.746941,1.538394,0.482687,0.065818,
34.000000,83.000000,1503.445550,1.106073,3.000000,1.000000,-1.000000,1.277084,2.661877,1.971432,0.601099,0.082016,
40.000000,77.000000,1325.370774,2.141246,2.000000,1.000000,-1.000000,1.247955,2.027385,1.293215,0.502693,0.079279,
50.000000,60.000000,1434.166258,1.426273,2.000000,1.000000,-1.000000,0.628063,2.099578,1.579812,0.524029,0.094463,
47.000000,41.000000,2436.585467,1.913946,4.000000,1.000000,-1.000000,3.232841,2.249066,0.874232,0.646277,0.061054,
54.000000,34.000000,1652.527394,-0.101622,2.000000,1.000000,-1.000000,2.434538,5.780066,3.690572,0.877542,0.151814,
48.000000,40.000000,930.128267,2.098644,4.000000,1.000000,-1.000000,2.213481,2.269059,1.205748,0.899050,0.189047,
47.000000,51.000000,1213.128232,1.775381,4.000000,1.000000,-1.000000,0.536974,0.794470,0.232355,0.081509,0.012457,
47.000000,54.000000,1748.710159,1.687433,4.000000,1.000000,-1.000000,5.304581,10.074727,6.727260,4.360638,0.655259,
34.000000,60.000000,1838.112296,2.159639,4.000000,1.000000,-1.000000,14.779686,7.034710,3.950190,3.123370,0.225053,
29.000000,29.000000,2428.896373,2.160438,4.000000,1.000000,-1.000000,1.568140,2.302300,2.220363,2.608676,0.328417,
