Attention,Meditation,Familiarity,MentalEffort,Appreciation,SignalQuality,EventTagging,Delta,Theta,Alpha,Beta,Gamma
38.000000,64.000000,-11.701767,0.297786,1.000000,1.000000,-1.000000,2.333048,2.690733,2.551808,1.585523,0.216412,
24.000000,61.000000,-27.424381,-3.121367,1.000000,1.000000,-1.000000,3.294671,5.312610,3.002110,0.674354,0.123483,
21.000000,70.000000,-19.370266,0.349908,1.000000,1.000000,-1.000000,1.842617,3.171002,2.048175,0.835726,0.094428,
17.000000,83.000000,-12.467326,-3.755120,1.000000,1.000000,-1.000000,5.062491,7.343434,5.294580,1.663983,0.160360,
14.000000,75.000000,-16.386044,-2.435780,4.000000,1.000000,-1.000000,3.976160,3.905029,1.892007,2.220610,0.249880,
17.000000,84.000000,-13.285230,0.699118,2.000000,1.000000,-1.000000,1.962654,5.194469,2.388939,0.469257,0.057910,
13.000000,77.000000,-44.279438,-0.218835,4.000000,1.000000,-1.000000,3.387086,4.075081,1.964735,0.453776,0.104019,
14.000000,75.000000,-41.870235,0.590253,4.000000,1.000000,-1.000000,1.490648,2.625770,1.876253,0.704654,0.133184,
16.000000,81.000000,-35.129238,0.186183,3.000000,1.000000,-1.000000,3.321878,4.957693,2.060478,1.279367,0.153021,
10.000000,80.000000,-39.241547,-1.188090,4.000000,1.000000,-1.000000,3.194942,5.972625,3.568444,0.638750,0.170582,
17.000000,74.000000,-41.509641,-2.166555,4.000000,1.000000,-1.000000,1.201611,2.488632,2.075229,0.913087,0.164684,
26.000000,67.000000,-28.733885,-6.775791,4.000000,1.000000,-1.000000,2.857440,5.014202,3.862662,3.173072,0.480496,
20.000000,74.000000,-22.187451,-0.690695,4.000000,1.000000,-1.000000,2.687169,3.849185,1.934160,0.734082,0.136223,
30.000000,74.000000,-26.849984,-3.878717,4.000000,1.000000,-1.000000,4.602208,4.262902,1.415215,1.341535,0.159789,
17.000000,84.000000,-49.962516,-1.474198,4.000000,1.000000,-1.000000,2.877865,4.417878,2.111591,0.826918,0.171835,
4.000000,88.000000,-29.350172,-0.255751,4.000000,1.000000,-1.000000,1.466485,2.880809,2.873714,1.043903,0.190697,
