Attention,Meditation,Familiarity,MentalEffort,Appreciation,SignalQuality,EventTagging,Delta,Theta,Alpha,Beta,Gamma
66.000000,21.000000,-0.244376,-1.351518,1.000000,1.000000,-1.000000,1.285765,1.241001,0.891865,0.304110,0.057344,
78.000000,20.000000,11.537147,-1.168310,1.000000,1.000000,-1.000000,2.117299,5.012773,3.110420,0.456710,0.099574,
100.000000,23.000000,14.511995,-0.908238,1.000000,1.000000,-1.000000,0.795424,2.574178,1.700597,0.229981,0.038588,
100.000000,41.000000,14.557308,0.144846,1.000000,1.000000,-1.000000,29.280329,23.260431,8.278980,5.675847,0.987896,
100.000000,41.000000,13.822154,-0.064506,4.000000,1.000000,-1.000000,4.088069,5.385598,3.981166,1.437319,0.304404,
78.000000,40.000000,6.571112,0.503907,3.000000,1.000000,-1.000000,1.009629,1.129497,0.869195,0.719953,0.141258,
54.000000,54.000000,15.595439,-0.454952,3.000000,1.000000,-1.000000,24.547745,17.104569,6.572301,6.224520,0.941978,
35.000000,70.000000,25.280506,0.810873,3.000000,1.000000,-1.000000,13.062247,11.994476,10.740553,5.287970,0.513729,
29.000000,77.000000,22.541069,-1.649941,3.000000,1.000000,-1.000000,5.491304,8.190324,4.259591,1.733901,0.169390,
24.000000,69.000000,23.753074,3.366680,4.000000,1.000000,-1.000000,6.575965,7.782875,5.309741,1.239501,0.160525,
38.000000,70.000000,29.739058,3.779420,4.000000,1.000000,-1.000000,8.521592,15.982195,10.193581,3.901869,0.878365,
47.000000,54.000000,20.992036,5.837885,4.000000,1.000000,-1.000000,12.247024,18.342979,15.159083,12.317458,1.662039,
47.000000,51.000000,25.772777,6.420867,4.000000,1.000000,-1.000000,12.537856,11.574859,11.288807,6.324498,1.209533,
47.000000,63.000000,38.837000,6.124548,4.000000,1.000000,-1.000000,11.842174,9.542530,2.958576,1.370485,0.295555,
35.000000,48.000000,33.077753,5.259005,4.000000,1.000000,-1.000000,5.690205,4.554758,3.330318,1.434594,0.205862,
43.000000,30.000000,30.612774,6.391026,3.000000,1.000000,-1.000000,1.787614,2.377287,1.193539,0.264546,0.055604,
61.000000,40.000000,43.387888,7.227956,4.000000,1.000000,-1.000000,2.478412,3.485751,1.745875,0.650735,0.228419,
75.000000,37.000000,42.096546,9.625812,3.000000,1.000000,-1.000000,7.011986,9.358581,3.410793,0.939555,0.120411,
96.000000,50.000000,48.097438,8.956311,4.000000,1.000000,-1.000000,4.865634,8.016452,3.535125,3.039557,0.595887,
83.000000,67.000000,28.998587,9.932860,2.000000,1.000000,-1.000000,4.816955,8.312887,3.218105,1.137485,0.193867,
78.000000,67.000000,38.561059,10.475188,3.000000,1.000000,-1.000000,9.374123,6.229528,2.193107,2.002679,0.369964,
60.000000,40.000000,42.377360,9.873848,3.000000,1.000000,-1.000000,12.420342,19.677187,14.697025,8.726841,1.007310,
40.000000,38.000000,40.106501,11.993074,3.000000,1.000000,-1.000000,11.398033,12.800511,4.179875,1.539628,0.433456,
43.000000,51.000000,29.240928,13.519857,3.000000,1.000000,-1.000000,120.155645,55.241015,24.160737,19.212308,7.217907,
26.000000,44.000000,35.293110,11.785118,4.000000,1.000000,-1.000000,32.534045,27.735760,20.395545,12.578274,3.180974,
26.000000,44.000000,30.831980,14.784414,3.000000,-1.000000,-1.000000,1.629241,1.805423,0.806786,0.346275,0.021790,
56.000000,69.000000,24.514019,15.680446,3.000000,1.000000,-1.000000,5.742404,12.569333,9.204922,6.529905,0.593963,
53.000000,77.000000,19.992321,9.205528,3.000000,1.000000,-1.000000,3.729530,3.453256,1.488333,0.384641,0.053011,
69.000000,67.000000,18.404741,14.081350,3.000000,1.000000,-1.000000,4.405520,10.058859,6.105051,4.323292,1.083017,
78.000000,78.000000,-8.725243,14.882528,4.000000,1.000000,-1.000000,3.078922,8.596610,7.113711,3.567557,0.917654,
61.000000,77.000000,19.814669,14.793920,3.000000,1.000000,-1.000000,0.993313,1.918770,0.840552,0.363448,0.055115,
67.000000,69.000000,26.214063,16.571793,1.000000,1.000000,-1.000000,2.517509,2.591166,1.257304,0.293458,0.097707,
50.000000,78.000000,24.197203,15.167730,4.000000,1.000000,-1.000000,28.303260,12.784630,5.455146,5.745015,1.262735,
41.000000,88.000000,23.224367,16.791644,3.000000,1.000000,-1.000000,6.678286,7.360004,6.877956,3.420956,1.175479,
35.000000,90.000000,24.189488,16.558774,4.000000,1.000000,-1.000000,6.026087,7.345102,4.079049,3.942904,0.698486,
