Attention,Meditation,Familiarity,MentalEffort,Appreciation,SignalQuality,EventTagging,Delta,Theta,Alpha,Beta,Gamma
38.000000,66.000000,63.910426,2.212460,1.000000,1.000000,-1.000000,10.531923,16.039118,17.997769,10.661455,4.843916,
35.000000,67.000000,-66.263290,3.394130,1.000000,1.000000,-1.000000,77.233823,96.030173,48.301390,42.099772,7.412698,
43.000000,80.000000,-1005.874254,-2.634860,1.000000,1.000000,-1.000000,84.303869,91.715116,53.639915,43.077981,7.792357,
48.000000,83.000000,-12.254123,1.852563,1.000000,1.000000,-1.000000,34.735176,38.717321,30.016243,14.324603,4.357284,
50.000000,69.000000,57.274710,4.126527,2.000000,1.000000,-1.000000,12.941639,13.220039,9.158518,8.158623,1.556084,
44.000000,77.000000,118.242783,4.544733,2.000000,1.000000,-1.000000,28.507100,36.430336,27.017954,18.476106,3.154238,
34.000000,77.000000,42.083553,5.514404,1.000000,1.000000,-1.000000,103.242095,99.616526,41.943238,26.318323,4.378275,
20.000000,77.000000,49.677912,5.343935,3.000000,1.000000,-1.000000,79.044082,137.492650,108.663504,70.590475,6.576066,
21.000000,93.000000,15.681973,4.318944,2.000000,1.000000,-1.000000,18.819614,37.244642,29.241600,7.314888,1.302916,
16.000000,88.000000,64.298988,5.030584,2.000000,1.000000,-1.000000,14.060482,19.880545,18.006309,6.935384,2.117426,
17.000000,88.000000,93.731223,4.211142,1.000000,1.000000,-1.000000,14.519675,11.788524,14.120888,10.980967,3.395929,
16.000000,87.000000,197.872785,6.164295,1.000000,1.000000,-1.000000,4.453498,7.944842,6.063892,4.784597,1.024103,
1.000000,80.000000,180.093349,5.838150,2.000000,1.000000,-1.000000,42.139788,53.353441,30.673884,9.627317,4.206475,
11.000000,83.000000,102.340043,6.963925,2.000000,1.000000,-1.000000,22.286335,23.317664,11.882296,12.117051,4.046388,
20.000000,81.000000,219.993445,7.474415,2.000000,1.000000,-1.000000,27.652709,17.611150,6.382328,8.927087,2.186832,
23.000000,53.000000,-62.870461,8.024703,2.000000,1.000000,-1.000000,15.982940,19.892519,14.242642,9.129113,2.900413,
40.000000,47.000000,222.374849,8.032732,1.000000,1.000000,-1.000000,41.012267,22.706165,10.477806,9.547033,1.955956,
34.000000,47.000000,302.942284,8.136238,2.000000,1.000000,-1.000000,9.506322,5.137887,4.226841,4.138908,1.124638,
23.000000,40.000000,258.423011,8.707941,3.000000,1.000000,-1.000000,8.181806,12.278383,10.282294,3.682979,1.666047,
34.000000,56.000000,314.037530,8.990522,2.000000,1.000000,-1.000000,10.637333,11.891187,11.532460,7.058680,2.199316,
21.000000,61.000000,286.277798,8.959860,1.000000,1.000000,-1.000000,35.158747,18.341985,9.470701,4.186777,1.432431,
17.000000,70.000000,303.181796,8.680357,3.000000,1.000000,-1.000000,12.727615,6.204069,5.276990,4.644948,0.734618,
20.000000,84.000000,200.728158,8.573777,2.000000,1.000000,-1.000000,129.790217,84.383021,22.422296,14.597880,6.199154,
4.000000,90.000000,374.402101,7.681706,1.000000,1.000000,-1.000000,0.757302,1.386784,2.176810,1.510985,0.187086,
21.000000,93.000000,381.991956,8.468291,1.000000,1.000000,-1.000000,8.530562,9.821815,5.754270,3.031420,0.493276,
