Attention,Meditation,Familiarity,MentalEffort,Appreciation,SignalQuality,EventTagging,Delta,Theta,Alpha,Beta,Gamma
63.000000,27.000000,7.211008,0.813367,1.000000,1.000000,-1.000000,1.049418,1.888177,0.910129,0.293811,0.035901,
69.000000,21.000000,7.298681,-0.713180,1.000000,1.000000,-1.000000,7.767501,8.212677,6.904943,6.517347,1.357343,
67.000000,27.000000,-0.175113,-0.335235,1.000000,1.000000,-1.000000,1.617471,2.774312,1.701107,0.463724,0.118169,
69.000000,51.000000,5.830231,1.212755,1.000000,1.000000,-1.000000,21.359420,20.073181,9.633385,9.905979,2.224948,
64.000000,47.000000,-13.122239,-2.247804,2.000000,1.000000,-1.000000,21.382530,13.091888,11.161504,8.142831,1.074153,
40.000000,48.000000,-42.115464,-0.580117,2.000000,1.000000,-1.000000,0.795518,1.400155,1.268186,0.346363,0.087158,
57.000000,56.000000,-125.304322,0.027845,2.000000,1.000000,-1.000000,7.412115,11.246228,8.901471,7.821851,1.156219,
64.000000,44.000000,-33.328243,1.192854,2.000000,1.000000,-1.000000,2.543073,4.765899,5.554514,3.010031,0.661360,
67.000000,47.000000,-20.300911,1.101186,4.000000,1.000000,-1.000000,11.456377,11.249505,9.561581,7.549923,2.787548,
69.000000,56.000000,-17.008291,1.339504,2.000000,1.000000,-1.000000,2.891291,2.967558,1.853554,1.149673,0.299173,
57.000000,56.000000,-10.739811,0.865630,2.000000,1.000000,-1.000000,17.737642,11.332185,6.653311,4.795123,1.870824,
47.000000,56.000000,-40.068765,-2.675886,2.000000,1.000000,-1.000000,15.744596,16.912136,8.181969,4.628201,2.450974,
48.000000,69.000000,-23.391924,-4.381832,2.000000,1.000000,-1.000000,20.237347,12.088544,8.574328,8.593625,1.706994,
50.000000,48.000000,-5.927942,-3.861530,2.000000,1.000000,-1.000000,23.867312,19.321183,7.088270,8.184517,1.583283,
37.000000,40.000000,-12.564251,-0.522322,2.000000,1.000000,-1.000000,1.304997,2.053112,0.872634,0.272993,0.026159,
47.000000,26.000000,-23.209802,-0.995091,2.000000,1.000000,-1.000000,0.472744,1.470727,1.449195,0.403803,0.039703,
60.000000,21.000000,-25.123912,-0.297119,1.000000,1.000000,-1.000000,15.806572,19.330693,11.767565,9.635147,2.271637,
51.000000,26.000000,-33.075455,-0.137888,2.000000,1.000000,-1.000000,4.606325,5.603624,5.496438,4.322743,0.553444,
57.000000,27.000000,-38.239559,-1.328641,2.000000,1.000000,-1.000000,11.118805,10.469220,10.293181,9.130477,2.606577,
34.000000,35.000000,-28.947359,-0.884940,3.000000,1.000000,-1.000000,3.367574,3.842081,2.309713,1.443305,0.204660,
17.000000,35.000000,-33.862398,-2.222906,3.000000,1.000000,-1.000000,19.562673,27.758785,21.370922,13.659529,2.715334,
24.000000,41.000000,-40.745456,-1.174580,2.000000,1.000000,-1.000000,30.407589,31.595543,21.331315,10.166458,2.878444,
20.000000,40.000000,-45.681402,-3.472986,3.000000,1.000000,-1.000000,7.282957,6.254180,4.110814,3.265898,0.541525,
37.000000,43.000000,-61.181588,-3.636657,2.000000,1.000000,-1.000000,9.444132,12.028460,9.719807,3.885712,1.122631,
40.000000,47.000000,-42.909904,0.313922,2.000000,1.000000,-1.000000,2.268117,2.512353,1.287327,0.862733,0.190955,
40.000000,34.000000,-45.699819,0.051045,1.000000,1.000000,-1.000000,15.492508,13.791243,11.712689,10.251697,2.183047,
41.000000,43.000000,-50.123115,-0.602195,2.000000,1.000000,-1.000000,21.964092,17.364840,9.510289,6.084066,1.271765,
21.000000,38.000000,-53.436337,-0.086690,2.000000,1.000000,-1.000000,4.427604,7.530667,2.390701,0.832925,0.240365,
23.000000,17.000000,-47.061182,1.288480,2.000000,1.000000,-1.000000,25.638270,22.991064,8.429619,7.262583,1.670107,
26.000000,30.000000,-53.851667,1.457416,2.000000,1.000000,-1.000000,17.607699,24.391688,13.961963,9.614900,1.716850,
24.000000,30.000000,-64.137014,0.689157,2.000000,1.000000,-1.000000,5.124138,4.072441,1.697792,0.744506,0.098197,
53.000000,44.000000,-52.097946,1.708698,2.000000,1.000000,-1.000000,2.528325,2.980696,1.373997,0.609025,0.086271,
64.000000,57.000000,-63.068793,1.944138,2.000000,1.000000,-1.000000,12.746332,17.995098,7.225022,4.559171,1.903173,
64.000000,60.000000,-47.979038,1.914813,2.000000,1.000000,-1.000000,5.716024,6.115317,3.089763,1.928697,0.544809,
60.000000,44.000000,-68.458884,1.585087,2.000000,1.000000,-1.000000,2.294987,2.899416,1.841132,1.973111,0.320953,
38.000000,14.000000,-46.819581,1.837982,2.000000,1.000000,-1.000000,11.936806,16.916972,11.520638,7.648069,1.606647,
