Attention,Meditation,Familiarity,MentalEffort,Appreciation,SignalQuality,EventTagging,Delta,Theta,Alpha,Beta,Gamma
40.000000,13.000000,-2.223337,-4.454756,1.000000,1.000000,-1.000000,4.086465,2.364805,0.896996,0.259577,0.025546,
48.000000,21.000000,-4.079284,-0.061910,1.000000,1.000000,-1.000000,13.291562,14.681549,7.799160,5.983098,1.485794,
37.000000,27.000000,-2.990809,-1.222904,1.000000,1.000000,-1.000000,10.602912,14.249505,14.545294,7.373399,1.298898,
41.000000,51.000000,-29.164704,-5.524321,1.000000,1.000000,-1.000000,7.311056,8.644210,4.329798,5.107856,1.828444,
27.000000,40.000000,-19.559525,-0.839275,2.000000,1.000000,-1.000000,14.738164,12.873491,8.104146,5.923917,1.567892,
21.000000,47.000000,-19.851587,-2.271145,2.000000,1.000000,-1.000000,9.169543,4.894411,3.153356,3.281727,0.826964,
21.000000,43.000000,-11.532298,-1.413786,2.000000,1.000000,-1.000000,3.216866,3.418566,3.285373,3.192598,0.467050,
10.000000,40.000000,-17.885323,-2.030830,2.000000,1.000000,-1.000000,13.384777,7.780504,3.460935,3.049003,0.976084,
21.000000,57.000000,-9.175072,-1.526327,1.000000,1.000000,-1.000000,18.183499,8.826517,10.917929,9.388761,1.532963,
10.000000,48.000000,-9.255465,-3.720794,3.000000,1.000000,-1.000000,5.345115,4.707654,4.408705,4.742534,0.708478,
4.000000,43.000000,-23.776202,-3.602984,1.000000,1.000000,-1.000000,1.004656,2.335192,1.774637,0.465236,0.074666,
14.000000,57.000000,-66.022071,-4.737402,2.000000,1.000000,-1.000000,1.637503,2.086005,0.733813,0.304335,0.024400,
35.000000,53.000000,-24.313154,-1.463617,2.000000,1.000000,-1.000000,11.489254,14.562559,9.486133,6.966183,1.770181,
51.000000,56.000000,-15.596384,-1.496095,2.000000,1.000000,-1.000000,1.778904,3.239891,2.118476,1.146438,0.134766,
67.000000,74.000000,-18.050997,-1.433097,1.000000,1.000000,-1.000000,1.515384,1.907330,1.145764,0.281819,0.045327,
75.000000,74.000000,-14.146520,-8.407069,2.000000,1.000000,-1.000000,14.317290,13.109276,11.625792,5.175290,1.373784,
60.000000,64.000000,-23.468391,-1.748978,2.000000,1.000000,-1.000000,1.819092,2.879558,1.546105,0.815509,0.080559,
57.000000,70.000000,-18.281560,-1.324615,2.000000,1.000000,-1.000000,5.060036,8.129518,10.595458,7.824811,1.239514,
60.000000,67.000000,-19.832739,-4.084192,2.000000,1.000000,-1.000000,3.124327,3.568498,1.421126,0.972001,0.153993,
63.000000,56.000000,-19.552062,-1.009072,2.000000,1.000000,-1.000000,2.009609,2.292105,0.943884,0.191278,0.053898,
